,Date,Time,PLAN,CALL_TYPE,MSIDN,IMSI,IMEI
192940,2015-11-04,,PLAN3,MOC,65978198280,208100310191699,356008289837
192969,2015-11-04,,PLAN3,MOC,65978198280,208100310191699,356008289837
192695,2015-11-05,0:15:00,PLAN3,SMS-MO,68373748102,208100167682477,356008289837
192696,2015-11-05,0:40:00,PLAN3,MOC,65978198280,208100310191699,351905149071
192697,2015-11-05,0:44:00,PLAN3,MOC,65978198280,208100310191699,356008289837
192724,2015-11-05,10:00:00,PLAN3,MOC,65978198280,208100167682477,356008289837
192725,2015-11-05,10:28:00,PLAN1,MOC,68373748102,208100310191699,356008289837
192726,2015-11-05,10:50:00,PLAN2,MOC,65978198280,208100310191699,351905149071
192727,2015-11-05,11:00:00,PLAN1,MOC,65978198280,208100310191699,356008289837
192728,2015-11-05,11:00:00,PLAN3,MOC,65978198280,208100167682477,356008289837
192729,2015-11-05,11:50:00,PLAN3,MOC,65978198280,208100310191699,356008289837
192730,2015-11-05,11:50:00,PLAN3,SMS-MT,65978198280,208100310191699,356008289837
192731,2015-11-05,11:50:00,PLAN1,MTC,67599860569,208100310191699,351905149071
192732,2015-11-05,12:00:00,PLAN3,MOC,65978198280,208100310191699,353297808290
192733,2015-11-05,12:00:00,PLAN3,SMS-MT,65978198280,208120276653317,356008289837
192734,2015-11-05,12:00:00,PLAN3,SMS-MO,65978198280,208100167682477,351905149071
192735,2015-11-05,12:00:00,PLAN1,MOC,65978198280,208100310191699,356008289837
192736,2015-11-05,12:00:00,PLAN2,SMS-MO,65978198280,208100310191699,356008289837
192737,2015-11-05,12:55:00,PLAN3,MOC,65978198280,208100310191699,351905149071
192738,2015-11-05,12:55:00,PLAN3,MOC,65978198280,208100310191699,356008289837
192739,2015-11-05,13:00:00,PLAN2,SMS-MO,65978198280,208100167682477,356008289837
192740,2015-11-05,13:00:00,PLAN3,MOC,65978198280,208120276653317,356008289837
192741,2015-11-05,13:15:00,PLAN1,SMS-MT,65978198280,208120276653317,356008289837
192742,2015-11-05,13:20:00,PLAN3,MOC,65978198280,208100310191699,351905149071
192743,2015-11-05,13:27:00,PLAN3,MTC,67599860569,208100310191699,351905149071
192744,2015-11-05,14:20:00,PLAN1,SMS-MO,65978198280,208100310191699,351905149071
192745,2015-11-05,14:20:00,PLAN1,SMS-MT,65978198280,208100310191699,353297808290
192746,2015-11-05,14:25:00,PLAN3,SMS-MO,65978198280,208120276653317,356008289837
192747,2015-11-05,14:28:00,PLAN3,SMS-MT,65978198280,208100310191699,351905149071
192748,2015-11-05,14:40:00,PLAN3,SMS-MO,65978198280,208100310191699,351905149071
192749,2015-11-05,14:51:00,PLAN3,SMS-MT,65978198280,208100167682477,351905149071
192750,2015-11-05,15:00:00,PLAN3,MOC,65978198280,208100310191699,356008289837
192751,2015-11-05,15:00:00,PLAN3,SMS-MT,65978198280,208120276653317,356008289837
192752,2015-11-05,15:00:00,PLAN1,SMS-MT,65978198280,208100310191699,356008289837
192753,2015-11-05,15:00:00,PLAN1,SMS-MT,65978198280,208100167682477,356008289837
192754,2015-11-05,15:00:00,PLAN1,SMS-MT,65978198280,208100167682477,356008289837
192755,2015-11-05,15:05:00,PLAN3,SMS-MT,65978198280,208120276653317,356008289837
192756,2015-11-05,15:15:00,PLAN1,MOC,68373748102,208100167682477,356008289837
192757,2015-11-05,15:22:00,PLAN3,MOC,65978198280,208100310191699,356008289837
192758,2015-11-05,15:35:55,PLAN3,MTC,65978198280,208100310191699,356008289837
192759,2015-11-05,15:40:00,PLAN3,SMS-MT,65978198280,208100310191699,351905149071
192760,2015-11-05,15:45:00,PLAN3,MTC,65978198280,208100167682477,356008289837
192762,2015-11-05,16:00:00,PLAN3,SMS-MT,65978198280,208100310191699,353297808290
192763,2015-11-05,16:05:00,PLAN3,SMS-MT,65978198280,208100310191699,356008289837
192764,2015-11-05,16:30:00,PLAN1,MOC,65978198280,208100310191699,351905149071
192765,2015-11-05,16:30:00,PLAN3,SMS-MT,67599860569,208100310191699,351905149071
192766,2015-11-05,16:30:00,PLAN3,SMS-MO,65978198280,208100310191699,356008289837
192767,2015-11-05,16:30:00,PLAN3,SMS-MO,65978198280,208100310191699,356008289837
192768,2015-11-05,16:30:00,PLAN1,MOC,68373748102,208100167682477,351905149071
192769,2015-11-05,16:31:00,PLAN3,MTC,65978198280,208100310191699,351905149071
192770,2015-11-05,16:45:00,PLAN3,SMS-MO,68373748102,208100310191699,356008289837
192771,2015-11-05,16:50:00,PLAN1,SMS-MO,68373748102,208100310191699,356008289837
192772,2015-11-05,17:00:00,PLAN3,MTC,65978198280,208100167682477,353297808290
192773,2015-11-05,17:00:00,PLAN2,MOC,65978198280,208100167682477,356008289837
192774,2015-11-05,17:00:00,PLAN1,SMS-MT,65978198280,208100167682477,356008289837
192775,2015-11-05,17:00:00,PLAN3,MTC,65978198280,208100167682477,356008289837
192776,2015-11-05,17:30:00,PLAN3,MOC,65978198280,208100310191699,356008289837
192777,2015-11-05,17:30:00,PLAN1,MTC,65978198280,208100310191699,351905149071
192778,2015-11-05,17:30:00,PLAN3,MTC,65978198280,208100167682477,356008289837
192779,2015-11-05,17:30:00,PLAN1,MOC,68373748102,208100310191699,356008289837
192780,2015-11-05,17:52:00,PLAN3,SMS-MO,67599860569,208100310191699,356008289837
192781,2015-11-05,17:55:00,PLAN3,SMS-MO,65978198280,208120276653317,351905149071
192782,2015-11-05,18:42:00,PLAN3,MOC,65978198280,208100167682477,351905149071
192783,2015-11-05,18:42:00,PLAN3,SMS-MO,65978198280,208100167682477,356008289837
192784,2015-11-05,18:45:00,PLAN2,SMS-MO,68373748102,208100167682477,356008289837
192785,2015-11-05,19:00:00,PLAN3,MOC,68373748102,208120276653317,356008289837
192786,2015-11-05,19:00:00,PLAN3,SMS-MT,65978198280,208100310191699,356008289837
192787,2015-11-05,19:40:00,PLAN3,MTC,68373748102,208100310191699,356008289837
192788,2015-11-05,19:50:00,PLAN3,MTC,65978198280,208100310191699,353297808290
192698,2015-11-05,1:00:00,PLAN3,SMS-MT,65978198280,208100310191699,351905149071
192699,2015-11-05,1:30:00,PLAN2,SMS-MT,65978198280,208100310191699,351905149071
192789,2015-11-05,20:00:00,PLAN3,SMS-MT,68373748102,208120276653317,356008289837
192790,2015-11-05,20:00:00,PLAN3,SMS-MO,65978198280,208100310191699,356008289837
