,Date,Time,PLAN,CALL_TYPE,MSIDN,IMSI,IMEI
43366,2018-12-15,0:00:00,PLAN1,SMS-MT,65978198280,208100310191699,353297808290
43367,2018-12-15,0:00:00,PLAN1,MTC,65978198280,208100310191699,356008289837
43368,2018-12-15,0:00:00,PLAN1,SMS-MO,65978198280,208100310191699,356008289837
43369,2018-12-15,0:10:00,PLAN3,SMS-MT,65978198280,208100310191699,351905149071
43370,2018-12-15,0:30:00,PLAN3,SMS-MT,65978198280,208100167682477,356008289837
43371,2018-12-15,0:30:00,PLAN3,MOC,65978198280,208100310191699,356008289837
43372,2018-12-15,0:30:00,PLAN2,SMS-MO,68373748102,208100310191699,356008289837
43409,2018-12-15,10:00:00,PLAN3,MTC,65978198280,208120276653317,356008289837
43410,2018-12-15,10:00:00,PLAN3,MTC,65978198280,208100167682477,351905149071
43411,2018-12-15,10:00:00,PLAN1,MTC,65978198280,208100310191699,351905149071
43412,2018-12-15,10:00:00,PLAN1,MOC,65978198280,208100310191699,356008289837
43413,2018-12-15,10:18:00,PLAN3,SMS-MT,65978198280,208100167682477,356008289837
43414,2018-12-15,10:29:00,PLAN3,SMS-MO,67599860569,208100167682477,356008289837
43415,2018-12-15,10:48:00,PLAN3,MTC,65978198280,208120276653317,356008289837
43416,2018-12-15,11:00:00,PLAN1,SMS-MO,65978198280,208100310191699,356008289837
43417,2018-12-15,11:03:00,PLAN3,MTC,65978198280,208100167682477,356008289837
43418,2018-12-15,11:15:00,PLAN3,MTC,65978198280,208100310191699,351905149071
43419,2018-12-15,11:17:00,PLAN3,MOC,65978198280,208100310191699,356008289837
43420,2018-12-15,11:20:00,PLAN3,SMS-MO,65978198280,208100310191699,356008289837
43421,2018-12-15,11:30:00,PLAN1,MTC,65978198280,208100310191699,351905149071
43422,2018-12-15,11:49:00,PLAN3,SMS-MT,68373748102,208100310191699,356008289837
43423,2018-12-15,11:56:00,PLAN3,MTC,68373748102,208100310191699,356008289837
43424,2018-12-15,12:00:00,PLAN3,MOC,67599860569,208100310191699,356008289837
43425,2018-12-15,12:00:00,PLAN1,MTC,65978198280,208100167682477,351905149071
43426,2018-12-15,12:00:00,PLAN3,SMS-MO,65978198280,208100167682477,351905149071
43427,2018-12-15,12:00:00,PLAN3,MOC,65978198280,208100310191699,351905149071
43428,2018-12-15,12:00:00,PLAN1,MOC,65978198280,208100310191699,356008289837
43429,2018-12-15,12:00:00,PLAN1,MOC,65978198280,208100310191699,353297808290
43430,2018-12-15,12:15:00,PLAN3,MTC,65978198280,208100167682477,356008289837
43431,2018-12-15,12:25:00,PLAN3,SMS-MT,65978198280,208100167682477,356008289837
43432,2018-12-15,12:30:00,PLAN1,SMS-MO,65978198280,208100167682477,351905149071
43433,2018-12-15,12:30:00,PLAN3,MTC,68373748102,208100310191699,351905149071
43434,2018-12-15,12:50:00,PLAN3,MTC,65978198280,208100167682477,351905149071
43435,2018-12-15,13:18:00,PLAN3,MTC,68373748102,208100310191699,356008289837
43436,2018-12-15,13:43:00,PLAN3,MTC,65978198280,208100167682477,356008289837
43437,2018-12-15,13:43:00,PLAN3,MOC,65978198280,208100310191699,356008289837
43438,2018-12-15,13:43:00,PLAN1,SMS-MO,68373748102,208100310191699,356008289837
43439,2018-12-15,14:00:00,PLAN3,SMS-MT,65978198280,208100167682477,356008289837
43440,2018-12-15,14:00:00,PLAN3,SMS-MO,65978198280,208100310191699,356008289837
43441,2018-12-15,14:10:00,PLAN3,MOC,65978198280,208100167682477,356008289837
43442,2018-12-15,14:10:00,PLAN3,SMS-MT,65978198280,208120276653317,353297808290
43443,2018-12-15,14:20:00,PLAN3,MOC,65978198280,208100310191699,351905149071
43444,2018-12-15,14:22:00,PLAN3,MOC,65978198280,208120276653317,356008289837
43445,2018-12-15,14:30:00,PLAN3,MOC,68373748102,208100310191699,356008289837
43446,2018-12-15,14:45:00,PLAN3,MTC,65978198280,208100167682477,356008289837
43447,2018-12-15,15:00:00,PLAN3,MOC,65978198280,208100167682477,356008289837
43448,2018-12-15,15:20:00,PLAN3,MOC,65978198280,208100310191699,356008289837
43449,2018-12-15,15:40:00,PLAN3,MTC,65978198280,208100310191699,356008289837
