,Calling-Number,Called-Number,PostDialDelay,Disconnect-Cause,Sip-Status,Session-Disposition,Calling-RTP-Packets-Lost,Called-RTP-Packets-Lost,Calling-RTP-Avg-Jitter,Called-RTP-Avg-Jitter,Calling-R-Factor,Called-R-Factor,Calling-MOS,Called-MOS,Ingress-SBC,Egress-SBC,Originating-Trunk-Group,Terminating-Trunk-Group
0,marjorie.koshiol,zachary.troutman,470,0,0,answered,0.0,0.0,0.0,1.0,9284.0,6544.0,440.0,319.0,Mia-Site,Mia-Site,us-trunk,TG0
1,ellen.higgins,claudia.ben,325,0,0,answered,1.0,0.0,0.0,1.0,9281.0,9281.0,440.0,440.0,WaDC-Site,Mia-Site,TG0,TG0
2,+17492176292,lisa.swift,485,0,0,answered,0.0,0.0,0.0,0.0,9278.0,9275.0,440.0,440.0,Mia-Site,Mia-Site,us-trunk,TG0
3,+25416485945,+55454170850,104,0,0,answered,0.0,0.0,0.0,0.0,9288.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
4,andrew.dunlap,stephen.lehmann,0,3,404,call-attempt,,,,,,,,,Lon-Site,,TG1,NoTG
5,leroy.danielsen,stephen.lehmann,122,0,0,answered,0.0,0.0,1.0,0.0,5119.0,9284.0,263.0,440.0,Lon-Site,Lon-Site,TG1,TG0
6,barton.disimone,stephen.lehmann,0,3,404,call-attempt,,,,,,,,,Lon-Site,,TG1,NoTG
7,leroy.danielsen,stephen.lehmann,87,0,0,answered,0.0,0.0,2.0,2.0,7030.0,9288.0,361.0,440.0,Lon-Site,Lon-Site,TG1,TG0
8,+613508789127,+128635166734,90,0,0,answered,0.0,0.0,0.0,0.0,9284.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
9,+613508789127,+128635166734,85,0,0,answered,0.0,0.0,0.0,0.0,9284.0,9288.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
10,+613508789127,+128635166734,131,0,0,answered,0.0,0.0,1.0,0.0,9281.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
11,patricia.holman,stephen.lehmann,107,0,0,answered,0.0,0.0,0.0,0.0,5365.0,9281.0,276.0,440.0,Lon-Site,Lon-Site,TG7,TG0
12,+45876506004,+16922643010,89,0,0,answered,1.0,0.0,0.0,0.0,9288.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
13,kathryn.pousson,+226031870352,72,16,487,ringing,,,,,,,,,Lon-Site,Lon-Site,pt-trunk,TG0
14,+55211095964,julia.mitchell,612,0,0,answered,0.0,0.0,15.0,102.0,9243.0,8584.0,439.0,419.0,Mia-Site,Mia-Site,us-trunk,TG0
15,gregory.pratt,stephen.lehmann,87,0,0,answered,1.0,0.0,3.0,1.0,5406.0,9281.0,278.0,440.0,Lon-Site,Lon-Site,TG0,TG0
16,+2004,tia.tong,476,16,487,ringing,,,,,,,,,Mia-Site,Mia-Site,us-trunk,TG0
17,anonymous,+80737792068,78,0,0,answered,0.0,0.0,0.0,0.0,9271.0,9286.0,439.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
18,+50961204550,+16922643010,81,0,0,answered,0.0,0.0,1.0,2.0,9288.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
19,+399545018765,+806152035232,78,0,0,answered,0.0,0.0,2.0,0.0,9288.0,9288.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
20,+87952739172,+69924717792,79,0,0,answered,0.0,0.0,0.0,0.0,9288.0,9288.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
21,+60822974260,+55454170850,75,0,0,answered,0.0,0.0,0.0,0.0,9284.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
22,+683890125522,+116094999470,173,0,0,answered,1.0,0.0,0.0,0.0,9288.0,6181.0,440.0,319.0,Lon-Site,Lon-Site,TG0,TG7
23,+589209668548,+806152035232,107,0,0,answered,0.0,0.0,0.0,0.0,9284.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
24,+415785436584,+806152035232,89,0,0,answered,0.0,0.0,0.0,0.0,9288.0,9288.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
